Date,diet
2011-06-26,70
2011-07-03,71
2011-07-10,73
2011-07-17,74
2011-07-24,72
2011-07-31,72
2011-08-07,67
2011-08-14,69
2011-08-21,67
2011-08-28,66
2011-09-04,66
2011-09-11,69
2011-09-18,68
2011-09-25,68
2011-10-02,65
2011-10-09,67
2011-10-16,65
2011-10-23,64
2011-10-30,65
2011-11-06,65
2011-11-13,66
2011-11-20,56
2011-11-27,68
2011-12-04,59
2011-12-11,56
2011-12-18,52
2011-12-25,68
2012-01-01,100
2012-01-08,88
2012-01-15,81
2015-11-29,52
2015-12-06,52
2015-12-13,48
2015-12-20,44
2015-12-27,63
2016-01-03,83
2016-01-10,74
2016-01-17,71
2016-01-24,70
2016-01-31,67
2016-02-07,63
2016-02-14,63
2016-02-21,66
2016-02-28,65
2016-03-06,66
2016-03-13,64
2016-03-20,63
2016-03-27,65
2016-04-03,67
2016-04-10,68
2016-04-17,67
2016-04-24,67
2016-05-01,64
2016-05-08,65
2016-05-15,64
2016-05-22,62
2016-05-29,62
2016-06-05,62
2016-06-12,58
2016-06-19,58
